condition_id,model_name,offense,defense,team,individual
H1_neg,chatgpt,1.0,1.0,1.0,1.0
H1_neg,claude,1.0,1.0,1.0,1.0
H1_neg,gemini,1.0,1.0,1.0,1.0
H1_pos,chatgpt,1.0,0.0,1.0,1.0
H1_pos,claude,1.0,0.5,1.0,1.0
H1_pos,gemini,1.0,0.0,1.0,1.0
H2_anon,chatgpt,1.0,0.0,1.0,1.0
H2_anon,claude,1.0,0.0,1.0,1.0
H2_anon,gemini,1.0,0.0,1.0,1.0
H2_named,chatgpt,1.0,0.0,1.0,1.0
H2_named,claude,1.0,0.0,1.0,1.0
H2_named,gemini,1.0,0.0,1.0,1.0
H3_neutral,chatgpt,1.0,0.0,1.0,1.0
H3_neutral,claude,1.0,0.0,1.0,1.0
H3_neutral,gemini,1.0,1.0,1.0,0.5
H3_underperf,chatgpt,1.0,0.5,1.0,1.0
H3_underperf,claude,1.0,0.5,1.0,1.0
H3_underperf,gemini,1.0,1.0,1.0,0.5
