condition_id,model_name,compound
H1_neg,chatgpt,-0.87585
H1_neg,claude,-0.9849
H1_neg,gemini,-0.9028499999999999
H1_pos,chatgpt,0.8876
H1_pos,claude,0.21050000000000002
H1_pos,gemini,0.95895
H2_anon,chatgpt,0.8924
H2_anon,claude,0.67725
H2_anon,gemini,0.9145000000000001
H2_named,chatgpt,0.8797999999999999
H2_named,claude,0.69625
H2_named,gemini,0.813
H3_neutral,chatgpt,0.8893
H3_neutral,claude,-0.9300999999999999
H3_neutral,gemini,-0.5695
H3_underperf,chatgpt,-0.47675
H3_underperf,claude,-0.781
H3_underperf,gemini,-0.87575
